event_id,timestamp,src_ip,user_id,event_type,outcome,city,device,factor
E001,2026-04-21T08:02:11Z,10.1.4.22,u_alvarez,login_success,success,Brooklyn,managed-laptop,password+mfa
E002,2026-04-21T08:05:10Z,198.51.100.77,u_nguyen,login_failed,failed,Unknown,unknown-browser,password
E003,2026-04-21T08:05:44Z,198.51.100.77,u_sharma,login_failed,failed,Unknown,unknown-browser,password
E004,2026-04-21T08:06:09Z,198.51.100.77,u_patel,login_failed,failed,Unknown,unknown-browser,password
E005,2026-04-21T08:06:41Z,198.51.100.77,u_harris,login_failed,failed,Unknown,unknown-browser,password
E006,2026-04-21T08:07:03Z,198.51.100.77,u_ortiz,login_failed,failed,Unknown,unknown-browser,password
E007,2026-04-21T08:07:29Z,198.51.100.77,u_garcia,login_failed,failed,Unknown,unknown-browser,password
E008,2026-04-21T08:08:12Z,10.2.8.14,u_harris,login_success,success,Brooklyn,lab-desktop,password+mfa
E009,2026-04-21T08:10:25Z,198.51.100.77,u_jlee,login_failed,failed,Unknown,unknown-browser,password
E010,2026-04-21T08:11:41Z,198.51.100.77,u_admin_fin,login_failed,failed,Unknown,unknown-browser,password
E011,2026-04-21T08:12:05Z,198.51.100.77,u_admin_fin,login_failed,failed,Unknown,unknown-browser,password
E012,2026-04-21T08:12:33Z,198.51.100.77,u_admin_fin,login_failed,failed,Unknown,unknown-browser,password
E013,2026-04-21T08:13:04Z,198.51.100.77,u_admin_fin,login_success,success,Unknown,unknown-browser,password
E014,2026-04-21T08:13:28Z,198.51.100.77,u_admin_fin,mfa_failed,failed,Unknown,unknown-browser,push
E015,2026-04-21T08:14:10Z,10.1.5.11,u_nguyen,login_success,success,Brooklyn,managed-laptop,password+mfa
E016,2026-04-21T08:15:55Z,203.0.113.24,u_helpdesk,login_failed,failed,Queens,managed-laptop,password
E017,2026-04-21T08:16:14Z,203.0.113.24,u_helpdesk,login_success,success,Queens,managed-laptop,password+mfa
E018,2026-04-21T08:17:09Z,198.51.100.77,u_afernandez,login_failed,failed,Unknown,unknown-browser,password
E019,2026-04-21T08:18:26Z,10.3.7.91,u_student1,password_reset,success,Brooklyn,student-phone,self-service
E020,2026-04-21T08:19:44Z,198.51.100.77,u_student2,login_failed,failed,Unknown,unknown-browser,password
E021,2026-04-21T08:20:55Z,10.1.3.70,u_ortiz,login_success,success,Brooklyn,managed-laptop,password+mfa
E022,2026-04-21T08:22:03Z,198.51.100.77,u_student3,login_failed,failed,Unknown,unknown-browser,password
E023,2026-04-21T08:23:17Z,10.4.2.30,u_garcia,login_success,success,Brooklyn,managed-laptop,password+mfa
E024,2026-04-21T08:24:49Z,198.51.100.77,u_student4,login_failed,failed,Unknown,unknown-browser,password
